,High,Low,Medium
ill,-2.8216704288985817e-05,0.00014818107727643248,0.0
review,-0.00011286681715583224,0.0,0.0
dri,-8.465011286684643e-05,0.0,0.0
definit,-0.00011286681715583224,-7.409053863816073e-05,0.0
dr,2.8216704288874794e-05,0.00029636215455286496,0.0
everyth,0.0,0.0,0.0
longer,0.0,0.0005927243091057299,0.0
nightmar,2.8216704288874794e-05,0.0003704526931911367,0.0
anyon,5.643340857786061e-05,0.00014818107727643248,0.0
fatigu,-2.8216704288985817e-05,0.0003704526931911367,0.0
woke,0.0,0.00044454323182929745,0.0
sometim,-2.8216704288985817e-05,0.0006668148477440017,0.00020708221163801
absolut,2.8216704288874794e-05,0.00029636215455286496,0.0
12,-2.8216704288985817e-05,0.00014818107727643248,0.00020708221163801
amp,0.0,-0.0003704526931910257,0.0
daili,5.643340857786061e-05,0.0010372675409350274,0.00020708221163801
quit,-8.465011286684643e-05,-7.409053863816073e-05,0.00020708221163801
overal,-0.00011286681715583224,0.0007409053863821624,0.0
worri,0.0,0.0014818107727643248,0.0
20,-2.8216704288985817e-05,7.409053863827175e-05,0.0
look,0.0,0.00029636215455286496,0.0
wait,8.46501128667354e-05,0.00029636215455286496,0.0
head,-2.8216704288985817e-05,0.0003704526931911367,0.0
actual,-2.8216704288985817e-05,0.0,0.0
muscl,-5.643340857797163e-05,0.0003704526931911367,0.0
past,0.0,7.409053863827175e-05,0.0
given,0.0,0.0,0.0
8,-2.8216704288985817e-05,0.0,0.0
began,0.0,0.0003704526931911367,0.0
eye,0.0,0.00044454323182929745,0.00020708221163801
vision,0.0,0.0007409053863821624,0.0
came,-0.00011286681715583224,-0.00014818107727632146,0.0
immedi,-0.00014108352144470704,0.0009631770022968666,0.00020708221163801
happen,5.643340857786061e-05,-0.00014818107727632146,0.0
lower,2.8216704288874794e-05,0.0,0.0
fine,2.8216704288874794e-05,0.0,0.0
breath,-5.643340857797163e-05,0.00014818107727643248,0.0
attack,0.0,0.0,0.0
slight,0.00014108352144470704,0.00014818107727643248,0.00041416442327602
suicid,-2.8216704288985817e-05,0.0003704526931911367,0.0
minut,0.0,0.00014818107727643248,0.0
new,0.0,-0.00014818107727632146,0.0
drink,-0.00011286681715583224,0.0013336296954878923,0.00020708221163801
yeast,-0.00014108352144470704,0.0009631770022968666,0.0
bed,5.643340857786061e-05,0.0,0.0
free,-0.00011286681715583224,0.0011113580795732991,0.00041416442327602
reason,-2.8216704288985817e-05,0.0,0.0
lose,0.0,0.00022227161591470423,0.0
twice,0.0,7.409053863827175e-05,0.0
insomnia,0.0,0.00029636215455286496,0.0
cough,0.0,0.00044454323182929745,0.0
arm,5.643340857786061e-05,7.409053863827175e-05,0.00020708221163801
mayb,0.0,7.409053863827175e-05,0.0
pressur,0.0,0.00014818107727643248,0.0
angri,0.0,0.0005186337704675692,0.0
rash,2.8216704288874794e-05,0.0008149959250204342,0.0
mouth,-5.643340857797163e-05,-0.00014818107727632146,0.0
break,-2.8216704288985817e-05,0.0,0.0
